Títulos,Nota,Sinopses,Temporada,Episódio,Franquia
It's a Wrap!,7.1,"Silence. RuPaul has crowned his First Drag Race UK Superstar, and you can now witness an extra bit of nail biting herstory as our three fabulous finalists Divina De Campo, The Vivienne, and Baga Chipz all gather to watch the final episode at the BBC3 viewing party for the very first time, waiting on tenterhooks for the big ru-veal. See the moment that the finalists and a room of raucous BBC3 Drag Race family and friends find out which fabulous queen has won the coveted title and crown. Featuring RuPaul, Michelle Visage, Graham Norton, Alan Carr three fabulous ...",1,9,UK
Meet the Queens,8.2,"Ahead of the long-awaited second series, Mama Ru introduces the 12 fabulous new queens competing for the title of the UK's next Drag Race superstar.",2,0,UK
Bring Back My Queens,8.4,"The award winning RuPaul's Drag Race UK returns for a second series. Over the course of ten weeks, twelve of the country's most fabulous drag queens will compete to be crowned the UK's Next Drag Race Superstar.",2,1,UK
Rats: The Rusical,8.6,"RuPaul's search for the UK's next Drag Race superstar continues. The queens are settling in, but the pressure is on as their singing, acting and dancing skills are truly challenged in Rats - The Rusical, Drag Race's first ever live musical. West End star Sheridan Smith joins Michelle Visage and Alan Carr on the judging panel.",2,2,UK
Who Wore It Best?,8.6,"This week RuPaul tests the queens' creative sewing skills and their friendships as they're pitted against each other in a design challenge called ""Who Wore it Best""? Supermodel Jourdan Dunn joins Michelle Visage and Graham Norton.",2,3,UK
Morning Glory,8.4,"For this weeks challenge, RuPaul tests the queens acting and presenting skills in an all new daytime television show Morning Glory. The queens are given the expert help of Lorraine Kelly who also joins Michelle Visage and Alan Carr.",2,4,UK
The RuRuvision Song Contest,9.2,"RuPaul and the queens return from their lockdown hiatus and the search for the UK's Next Drag Race Superstar resumes. With the queens reunited and added twists, there is much excitement in the air, but the competition picks up quickly as the queens form two groups for a Europop battle - The RuRuvision Song Contest. In a glorious homage to Eurovision, the queens record and perform the same catchy song, but can they swerve the dreaded nul points?. MNEK joins Michelle Visage and Graham Norton on the judging panel as a fifth queen sashays away from the competition.",2,5,UK
Queens on Lockdown,8.0,A never-before-seen look into the lockdown lives of the queens of RuPaul's Drag Race UK as they were sent home for a seven-month break in filming due to the Covid-19 pandemic.,2,6,UK
Snatch Game,8.2,"This week the queens showcase their best celebrity impressions and improv skills, as they take on the iconic Snatch Game. Gemma Collins plays along too, but can the queens match her blankety blank? On the judging panel singer Jessie Ware joins Michelle Visage and Alan Carr as another queen sashays away.",2,7,UK
Lockdown Supersheroes,8.4,"RuPaul challenges the queens to create show-stopping superhero outfits. US Drag Race star Raven pops in for moral support, and TV presenter Maya Jama joins Michelle Visage and Graham Norton on the judging panel, as Ru decides which queens should lip sync for their lives.",2,8,UK
Stoned on the Runway,8.0,"This week the queens face one of their toughest challenge yet, as they are asked to write and perform their own comedy stand-up routines. Comedy legend Dawn French joins Michelle Visage and Alan Carr on the judging panel as another queen takes her leave.",2,9,UK
BeastEnders,8.0,"This week the queens' acting skills are put to the test as they star in a new soap opera BeastEnders. To help them with their roles, EastEnders legend Natalie Cassidy, aka Sonia, gives the girls a soap acting masterclass whilst Michelle Visage and Graham Norton and an extra special guest judge join RuPaul to deliberate the fate of the remaining queens.",2,10,UK
Grand Finale,6.4,"The top 4 must write, record, and perform a verse of RuPaul's song ""A Little Bit of Love"". RuPaul crowns the UK's Next Drag Race Super Star.",2,11,UK
Meet the Queens,7.7,Video Profiles for the 12 contestants competing in Series 3 of RuPaul's Drag Race UK.,3,0,UK
The Return of Royalty,8.5,"In this opening episode, Judge Supremo, RuPaul ushers a brand new set of queens into the werk room, sets them their first cheeky challenge, and asks the queens to take to the runway to serve not one, but two looks. Comedy legend Matt Lucas joins Michelle Visage and Graham Norton on the judging panel, to help RuPaul determine who will be the first queen to sashay away.",3,1,UK
Dragoton,6.1,"RuPaul's search for the UK's Next Drag Race Superstar continues. The queens are settling in, but the pressure is on as their werk out skills are put to the test in the high energy dance challenge--Dragoton.",3,2,UK
Great Outdoors,7.2,The queens camp it up as RuPaul tests their sewing skills - in a Great Outdoors themed design challenge. US Drag Race All Star Raven is on hand to offer the queens makeup advice while Bridgerton's Nicola Coughlan joins Michelle Visage and Graham Norton on the panel as a third queen leaves the competition.,3,3,UK
Big Drag Energy,7.8,"The search for the UK's Next Drag Race Superstar steps up with the return of the now iconic Girl Group challenge. With on hand support from pop superstars Steps, the queens split into two groups to record and perform a brand new single. Spice Girls legend Emma Bunton joins Michelle Visage and Alan Carr on the judging panel. Who will leave the competition this week?",3,4,UK
Draglexa,5.8,This week the queens' marketing skills are put to the test as they produce adverts for a brand new in-home smart assistant - Draglexa. Little Mix star Leigh-Anne Pinnock joins Michelle Visage and Alan Carr on the judging panel as another queen exits the competition.,3,5,UK
The Snatch Game,4.3,"Nadine Coyle and Judi Love join the queens for the iconic Snatch Game, while the legendary Lulu joins Ru as his extra special guest judge alongside Michelle Visage and Graham Norton.",3,6,UK
Miss Fugly Beauty Pageant,8.3,"In a Drag Race first, Ru tests the queens' showstopping stamina as they're challenged to turn in three separate looks on the runway--all against the clock. Comedy star Charity Shop Sue offers moral support.",3,7,UK
Bra Wars,8.1,"This week the queens' overacting skills are put to the test as they star in a new sci-fi blockbuster, Bra Wars - The Fempire Claps Back. Actor Russell Tovey joins RuPaul as his extra special guest judge .",3,8,UK
The Pearly Gates Roast,8.8,This week the queens must write and perform their own comedy material in a stand up challenge that sees them roasting the most challenging of victims - themselves. Comedy legend Kathy Burke joins Michelle Visage and Alan Carr on the judging panel as another queen takes her leave.,3,9,UK
Grand Finale,6.4,"It's the grand finale--and Christmas comes early as the competition concludes with a festive fight for the crown. Choreographer Jay Revell coaches the queens through their all singing and dancing final challenge. While Michelle Visage, Alan Carr, Graham Norton are on hand as RuPaul awards the coveted title of UK's Next Drag Race Superstar.",3,10,UK
Eh-Laganza Eh-Xtravaganza,7.9,The 12 stunning Canadian Drag Race contestants are revealed. We meet the judges and the women are pushed to the limit in their first challenge.,1,1,Canada
Her-itage Moments,7.1,Queens divide into teams to overact their way through Canada's drag her-story.,1,2,Canada
Not Sorry Aboot It,7.8,"Setting their trademark Canadian niceness aside, the Queens do battle in a song and dance diss track showdown.",1,3,Canada
SINGLE USE QUEENS,7.4,The Queens turn trash into treasure in an eco-inspired design challenge.,1,4,Canada
Snatch Game,8.7,The iconic star-studded celebrity impersonation game show arrives in Canada.,1,5,Canada
STAR SIXTY-NINE,6.7,Queens must write and produce commercials for fictional drag queen law firms.,1,6,Canada
Miss Loose Jaw,7.5,The world of pageantry is celebrated through memorable improv with a small-town twist.,1,7,Canada
Welcome to the Family,6.7,The Queens are paired up with Rainbow Railroad newcomers for a makeover challenge.,1,8,Canada
The Snow Ball,5.7,"The top four gets ready for the snow ball by bringing 3 looks. With special guest judge, drag race legend Michelle Visage.",1,9,Canada
U Wear It Well,7.7,"The final three Queens write, record, and perform an all-new remix of a RuPaul classic. The winner of Canada's Drag Race is crowned.",1,10,Canada
Canada's Drag Race Anniversary Extravaganza,6.5,"In Canada's Drag Race Anniversary Extravaganza, Priyanka, the queen herself, hosts an exciting hour to celebrate a year since its premier.",1,11,Canada
Lost and Fierce,7.7,"Twelve of Canada's top drag queens show off their design skills by turning left behind items from a coat check into Premiere Party Eleganza looks, as they compete for the Canada's Drag Race crown.",2,1,Canada
Under the Big Top,8.6,The queens perform in the Canada Drag Race original Rusical: Under the Big Top. Special Guest Judge: Hollywood Jade.,2,2,Canada
Screech,7.7,The queens overact in the Spooktacular slasher flick: Screech. Special Guest Judge: Fefe Dobson.,2,3,Canada
Snatch Game,6.5,The queens show off their best celebrity impressions in the iconic Snatch Game. Special Guest Judge: Connor Jessup.,2,4,Canada
Bye Flop,7.3,"The queens write, record, and perform an original pop-country break up bop. Special Guest Judge: Bif Naked.",2,5,Canada
The Sinner's Ball,7.9,The queens are challenged to showcase three runway looks at the Sinner's Ball. Special Guest Judge: Gigi Gorgeous.,2,6,Canada
The Roast of Brooke Lynn Hytes,7.6,The queens don't hold back as they roast the one and only Brooke Lynn Hytes.,2,7,Canada
Prom,9.1,The queens pair up with teenagers for a makeover of a lifetime. Special Guest Judge: Mitsou.,2,8,Canada
The Reunion,7.8,"The eliminated Queens return to spill the tea of the season with the remaining Queens, and all are gagged by a shocking twist.",2,9,Canada
Queen of the North,9.0,"The final queens write, record, and perform a brand-new remix of Brooke Lynn Hytes' hit song 'Queen of the North'. The winner of Canada's Drag Race is crowned.",2,10,Canada
Meet the Queens,7.9,"In this preview episode, RuPaul introduces the 9 international Drag Race all-star queens competing for the crown.",1,0,UK vs the World
Global Glamazons,8.1,Nine Drag Race legends from around the world vie for the title of Queen of the Mothertucking World. Mel C joins the judges as the global glamazons stage their very own royal command performance.,1,1,UK vs the World
RuPaul Ball,7.7,"The fierce International Drag Race competition to be crowned Queen of the Mothertucking World continues, and this week it's the RuPaul Ball. In a celebration of ""all things RuPaul"" the queens must serve three looks on the runway - including an outfit they must create from scratch that Mama Ru herself would want to wear.",1,2,UK vs the World
West End Wendys,4.9,"Seven global glamazons remain, and this week the pressure amplifies as their stage presence, singing and dancing skills are seriously tested in a celebration of Musical Theatre, with the queens performing West End Wendys - The Rusical.",1,3,UK vs the World
Snatch Game: Family Edition,6.1,The fierce international competition to be crowned Queen of the Mothertucking World continues and this week it's the legendary Drag Race challenge: the Snatch Game...but with a twist.,1,4,UK vs the World
Semifinals,6.0,"This week the queens are tasked with an all singing, all dancing challenge: performing their own version of one of RuPaul's classic hits. Little Mix star Jade Thirlwall coaches the queens as they record their vocals.",1,5,UK vs the World
Lip Sync Smackdown For The Crown,0,"Know what this is about?
 Be the first one to add a plot.",1,6,UK vs the World
Land of the Queens,7.1,"The queens are challenged to hold their breath as they are immediately thrown into the deep end for their first photo-shoot. And for the very first time, the queens are tasked with creating a legendary look based on their favorite queen.",1,1,Holland
Give Face!,6.9,"The competition has really started now, and the queens have landed in an emotional rollercoaster. Luckily, the mood is lightened when they create a hilarious drag workout video together. On the runway, the queens must show their true face.",1,2,Holland
Drama Queens,6.6,"After the tumultuous ending from the episode prior, the knives have been sharpened because in this competition, there is only 1 that can stand in the spotlight. The queens act it out in a scene from the new series: Gooise Drags.",1,3,Holland
Dancing Queens,6.2,"Drag legend, Mayday stops by because reading is fundamental. The queens perform in a voguing battle as if their lives depend on it with the help of Pride ambassador, Amber Vineyard-but not everyone can keep up.",1,4,Holland
Snatch Game,4.7,"It's Snatch Game time, Drag Race's most beloved and infamous challenge. Which celebrity skins will the queens get into, and who will survive this challenge? But before that happens, they will first have to reveal themselves. Literally.",1,5,Holland
It Takes Two,6.4,"The queens go on a date with a desirable bachelor, and must do everything to save the date - desserts are flying and the queens are ready for battle. Until now the queens have had to operate solo, but for this runway, they work as duos.",1,6,Holland
Maxima - The Rusical,6.2,"The last four queens are ready to snatch a spot in the finale. They star in MAXIMA - the Unauthorised Rusical, based on the true story of the queen of the Netherlands. On the runway, they have to present not one, not two, but THREE looks.",1,7,Holland
The Grand Finale,6.9,"Who will be crowned the first Dutch Drag Race Superstar? The queens pay tribute to RuPaul with a special lip-sync medley, and on the runway, they appear in their ultimate best drag.",1,8,Holland
Who's That Queen?,7.3,"The 10 queens are challenged to show where their strength lies in a talent show. Everything is allowed, as long as they leave a good first impression with the jury members - So racers, start the engines and may the best drag queen win.",2,1,Holland
"Ooh, I Got Sunburned!",7.0,"Whether you're staying in a luxury resort, or deciding to vacation closer to home, as the next Dutch drag superstar you need to know the best way to sell your garments...Because the world is your runway.",2,2,Holland
Icons Only (Snatch Game),6.0,"The queens have to put their best foot forward in a very challenging dance challenge, but there's no time to rest because they have to get ready to play the Snatch Game. If you make people laugh, you'll be loved forever, and that is exactly what they want, so the queens have to make sure to deliver those jokes. If they can't, they might want to ask their favorite icons for some advice.",2,3,Holland
Cinderella in Mokum,5.3,"With the clock ticking away, the remaining six queens are getting to know each other better and better. And with all hang-ups and peculiarities out in the open it's time for some good ol' reading. And when the clock strikes twelve? Bibbidi bobbidi boo!!. Dreams come true when you make them happen. Cinderella is joined by an all star cast of fairytale icons in this season's Rusical, full of mishap and mayhem: CindeRUella.",2,4,Holland
Dearly Beloved (Family Resemblance),7.2,"As tiny as The Netherlands are as a country: on April 1, 2001 the Dutchies took the world stage by being the first country in the world to legalize same-sex marriage. At midnight four couples got married in Amsterdam. 20 years later one of these couples Dolf and Gert are still going strong and reliving the magical moment of getting married. This time the officials on duty are none other than our queens. And it's a family affair all the way through the end this episode with the queens slaying the runway with their beloved ones.",2,5,Holland
Spill the Coffee,3.9,"Survival of the fiercest. There are only five queens left in the race so it's time to speed things up. Which of the queens will be crowned queen of daytime television? They will have to be sharper than their nails because the teleprompter has no mercy. With more and more at stake, tensions are mounting, and when it turns out that one of the queens has broken the rules, the bomb explodes.",2,6,Holland
Whodunnit,2.2,"It's time for the semi-finals. The last four queens take part in a Miss Match competition, but not as themselves: like each other. As a queen you have to be a drag-of-all-trades. You must be able to perform, do make-up, dance, and make your own costumes, but can the semifinalists also solve a murder case? For the maxi challenge they play a role in the spine-chilling detective story, ""Murder on the Heel"". This does not end well for one queen.",2,7,Holland
Grand Finale,4.9,"Welcome to the grand finale of Drag Race Holland. For their very last challenge, the queens have to record a video clip with a special guest. The bar is set high because the finish line is in sight. They must write lyrics, sing, and dance like their lives depend on it because it's the last chance to show why they should win the crown and walk away with the coveted title of Dutch Drag Superstar.",2,8,Holland
G'day G'day G'day,7.0,"We meet the Australian and New Zealand drag queens competing to become down under's first Drag Race superstar. It's a hometown homage this week, as the queens showcase their personalities at the 'get to know you' ball.",1,1,Down Under
Snatch Game,6.3,"It's the time we've all been waiting for, as the queens don their best celebrity get-ups to compete in the infamous celebrity impression Olympics. It's Snatch Game, baby.",1,2,Down Under
Queens Down Under,6.0,"The queens are split in two, as they compete in the ultimate girl group sing-off.",1,3,Down Under
Rucycled,4.4,The queens are put through their paces with a sewing challenge that has them showcasing their best thrift flip.,1,4,Down Under
Marketing Hats,4.9,"The queens put their marketing hats on, as they are given the challenge to create and market a product, green screen infomercial and all.",1,5,Down Under
Family Resemblance,7.0,"Can you see the family resemblance? The queens are challenged to makeover and raise their very own drag family members, out of drag first timers.",1,6,Down Under
Down Under Talent Show Extravaganza,3.2,The queens compete in a talent show and attempt to cement their place in the finale of RuPaul's Drag Race Down Under.,1,7,Down Under
Down Under Grand Finale,6.8,"The final queens write their own verses to RuPaul's ""I'm a Winner, Baby"" and compete to be crowned winner of the first season of RuPaul's Drag Race Down Under.",1,8,Down Under
Celebrity Snatch Game,7.9,"In the dazzling premiere, three actors compete for the title of ""America's Next Celebrity Drag Race Superstar"" and $30,000 for the charity of their choice. Bob the Drag Queen, Trixie Mattel and Monet X Change guest star.",1,1,Celebrity
Rusical,7.2,"Three new stars strut their way from Tinseltown to the main stage of ""RuPaul's Celebrity Drag Race"" to perform in a musical inspired by the cult classic ""9 to 5.""",1,2,Celebrity
RuPaul Roast,9.1,"In the premiere of this four part star-studded event, three actors compete for the title of ""America's Next Celebrity Drag Race Superstar"" and $30,000 for the charity of their choice. Bob the Drag Queen, Trixie Mattel and Monet X Change guest star.",1,3,Celebrity
Dragzilla,6.0,"In this conclusion to the four part special event, three new celebrities step inside the workroom to form a fierce glam rock-inspired pop group sensation. Alyssa Edwards, Monique Heart and Vanessa Vangie Mateo guest star.",1,4,Celebrity
Contestant's Story,7.3,"In this series premiere, 10 drag queens compete for the title of Thailand's First Drag Superstar. In the mini challenge, they're photographed while doused with buckets of water. For the main challenge, they must design a 3-in-1 runway look.",1,1,Thailand
Power of Love,6.8,"The queens participate in a blacklight photo shoot for the mini challenge, play both bride and groom in a photo shoot for the wedding theme maxi challenge, and walk the runway in the theme of ""The Power of Love.'""",1,2,Thailand
Curtain to Couture,6.9,"The contestants create an animal puppet and put on a fairy tale puppet show for the mini challenge. For the main challenge, they must create a couture runway look out of window curtains.",1,3,Thailand
Beloved Thai Movies,7.0,"For the mini challenge, the queens walk the pink carpet and must stand out while being upstaged and blocked by models. They present and accept awards they create for each other in the main challenge then walk the runway in film inspired looks.",1,4,Thailand
Snatch Game,7.0,"The seven contestants ""read"" each other for the mini challenge, participate in Snatch Game for the main challenge, and walk the runway in an outfit they design and make from dyed Thai silk that must look expensive.",1,5,Thailand
"Commercial, Commercial",6.1,"In the mini challenge, the queens do a 1-minute presentation clip promoting a Line Mobile sim. In the main challenge, they pair up to parody Line Mobile commercials. The final 6 perform then walk the runway in the theme of Araya A. Hargate.",1,6,Thailand
Episode #1.7,6.9,The queens pair up for a twin portrait mini challenge then team up with past contestants as conjoined twins in looks created from boxes and act in a lakorn in a double maxi challenge. They walk the runway in a Songkran Water Festival theme.,1,7,Thailand
Final Runway,7.0,"Know what this is about?
 Be the first one to add a plot.",1,8,Thailand
Re-Born This Way,7.5,"Guest Judges: Yai Amat Nimitpark, Pitt Karchai, and Tae Piyarat Kaljareuk",2,1,Thailand
Under The Rainbow,7.2,Guest Judges: Nut Prakopsantisook and Sonya Cooling,2,2,Thailand
Thai Beauty,7.2,Guest Judges: Vatanika and Sakuntala Thianphairot,2,3,Thailand
Mother and Daughter,6.8,Guest Judges: Bobby and Mam Surivipa,2,4,Thailand
Hollywood Inspirations,7.2,Guest Judges: Cindy Bishop and Pae Arak,2,5,Thailand
Power of Speech,7.4,"Guest Judges: Maria Lynn Ehren, John Winyu, and Moo Asava",2,6,Thailand
Food Lover,7.2,"Guest Judges: Chef Fang Nattapong, Madame Mod, James Rusameekae Fagerlund, Tae Piyarat Kaljareuk",2,7,Thailand
Heavenly Snatch,7.0,"Guest Judges: Hungry, Metinee Kingpayom, and ""Pancake"" Khemanit Jamikorn",2,8,Thailand
Thai Musical,8.2,"Guest Judges: Apaporn Nakornsawan, Jennifer Kim, and Sombat ""Tue"" Tirasaroj",2,9,Thailand
Family Superheroes,7.7,"Guest Judges: New and Jiew, New Atiwat, and Petch Paopetch",2,10,Thailand
White Elephant,7.2,"Guest Judges: Debbie Bazoo, Gene Kasidit, Jai Sira",2,11,Thailand
Queen's Reunited,6.9,The queens reunite one last time before the winner is crowned.,2,12,Thailand
Final Runway,7.9,The winner of Drag Race Thailand Season 2 is announced.,2,13,Thailand
Ciao Italia,7.0,"In the premiere episode of Drag Race Italia, eight Italian queens enter the Werkroom and compete in a classic mini challenge: a photo shoot set in Venice. Then they will be called on to create an Italian style dress to impress the judges on the catwalk.",1,1,Italy
Divas,7.6,"The queens face a very funny mini challenge: limbo. In the maxi challenge, the queens will be tasked with starring in a commercial. On the Main Stage, they will have to give their best with a look that pays homage to great divas.",1,2,Italy
Night of a Thousand Raffaella Carràs,7.7,"The queens pay tribute to the iconic LGBTQ ally Raffaella Carrà by recreating the pictures of her famous outfits in a puzzling mini-challenge as well as singing and dancing in ""Carrà: The rusical.""",1,3,Italy
Snatch Game & Fab 80's,5.0,"The queens await the arrival of the judges in the Werkroom who share the theme of the mini challenge: Makeup in the Dark. Which of them will be able to do perfect makeup in the dark? And who will be able to do an amazing impersonation in the Snatch Game? On the runway, we take a dip in the fabulous 80's.",1,4,Italy
Long Live the Drag Bride,7.5,"For the semi-final, friends and relatives will get makeovers to become drag queens for a night. On the Main Stage, the category is ""Long Live the Drag Bride.""",1,5,Italy
Grand Finale,5.8,In the Finale the four finalists will perform their own original verses to song by RuPaul. After the runway and one last elimination three of them will battle in a lip-sync leading to the coronation of the Italia's First Drag Superstar.,1,8,Italy
Meet the Queens,8.8,Meet the queens who are competing to snatch the title of Spain's First Drag Superstar.,1,0,España
¡Bienvenidas a España!,9.0,"In this premiere episode, the queens arrive and take on their first challenge - mounting a bucking Spanish bull while posing for a photographer. Then their skills are tested to the max as they are tasked with designing and creating looks fit for the runway from everyday items from a typical Spanish market stall. Actor and international modeling icon Jon Kortajarena joins the creators of award-winning TV sensation Veneno - Javier Calvo, Javier Ambrossi and award-winning designer Ana Locking on the judging panel as the first queen sashays away from the competition.",1,1,España
Divas,8.0,"After a fun word game with the handsome Spanish Pit Crew, the pressure mounts as the queens work together in teams and their singing and dancing skills are put to the test in the maxi challenge. Then the runway gets emotional as the queens pay tribute to Spanish superstar La Veneno in front of her lifelong friend. Veneno star Paca la Piraña joins the creators of award-winning TV sensation Veneno - Javier Calvo, Javier Ambrossi and award-winning designer Ana Locking on the judging panel as another queen exits the competition.",1,2,España
Mocatriz,8.4,"The search for Spain's First Drag Race Superstar continues. This week Supremme Deluxe tests the queens' ball skills in a typically Spanish football challenge, then tasks them with creating their own advertising brand based on the Spanish concept Mocatriz - modelo/cantante/actriz (model/singer/actress). Almodovar actor and star of Spanish supergroup Ojete Calor (Asshole Heat) Carlos Areces joins the judging panel as a third queen leaves the competition.",1,3,España
Snatch Game,8.7,It's the moment we've all been waiting for as Spain hosts its inaugural Snatch Game. And in a jam-packed episode the queens present no less than three runway looks in homage to the many looks of the women of Spain.,1,4,España
The Art of Drag,8.1,Working in pairs the queens get into the time-honored Spanish tradition of treading grapes in a barrel before they are tasked with treading the boards in their first-ever acting challenge based on one of Spain's most popular dramas. This week's runway is an homage to the world-renowned Spanish stars of the art world. Legendary Spanish Queen of Pop Alaska joins the judging panel as a fifth queen sashays away from the competition.,1,5,España
Drags de la Comedia,9.2,This week the queens showcase their stand-up comedy skills as they are charged with roasting the judges. The runway is a tribute to Spain's biggest music superstar Rosalia.,1,6,España
Final Four,9.1,"With only four remaining, this week the queens once again put their dress-making and design skills to the test as they are paired with members of Spain's first inclusive rugby club Madrid Titanes in an emotional drag makeover challenge. Winner of Drag Race Holland Envy Peru joins the judging panel as all roads lead to the dramatic final.",1,7,España
El Reencuentro,7.5,"All the queens are welcomed back for the first Drag Race España reunion show. They will review everything that has happened over the season, crown España's first Miss Congeniality, and look ahead to next week's grand finale.",1,8,España
Grand Finale,9.0,"In their ultimate challenge, the final three queens must shoot a video and perform a choreographed all-singing, all-dancing extravaganza to impress the judges enough to snatch that crown. The eliminated queens all return as the finalists face a final lip sync before Supremme crowns the series' winner.",1,9,España
La Coronación,8.1,The crowned queen is revealed to the top three contestants.,1,10,España
